ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_qflexpress_divfive-p075_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 44 66                                                             4    76      0.02 sec
  3 : 0 11 41 74                                                          4    90      0.03 sec
  4 : 0 10 26 36 98                                                      13    96      0.06 sec
  5 : 0 8 15 13 13 93                                                     0    96      0.07 sec
  6 : 0 8 15 13 13 29 64                                                  0    96      0.07 sec
  7 : 0 8 20 24 34 71 98 150                                             24   110      0.19 sec
  8 : 0 8 19 16 41 45 100 102 308                                        20   117      0.34 sec
  9 : 0 6 16 17 32 23 68 81 80 231                                        2   117      0.37 sec
 10 : 0 6 15 17 31 22 68 83 99 138 233                                   10   120      0.46 sec
 11 : 0 6 15 17 31 22 68 88 109 153 131 315                              16   125      0.61 sec
 12 : 0 6 15 15 33 22 68 78 83 100 134 236 344                           12   126      0.79 sec
 13 : 0 6 15 15 33 22 68 78 83 96 102 220 235 433                        14   128      1.07 sec
 14 : 0 6 15 15 32 22 68 79 83 96 101 210 189 334 280                    11   129      1.30 sec
 15 : 0 6 15 15 32 22 68 76 83 95 97 215 208 320 329 572                  9   130      1.95 sec
 16 : 0 6 15 15 32 22 68 74 79 77 80 179 122 397 271 499 599             14   130      2.56 sec
 17 : 0 6 15 15 32 22 68 74 79 77 80 179 108 400 255 305 265 864         14   138      3.23 sec
 18 : ... 15 15 32 22 68 74 79 77 80 179 108 400 252 296 213 646 417     14   141      3.57 sec
 19 : ... 32 22 68 74 79 77 80 160 127 398 259 304 221 636 800 1561      11   146      6.56 sec
 20 : ... 22 68 74 79 77 80 160 127 398 258 298 207 346 958 1155 476      7   146      6.90 sec
 21 : ... 68 74 79 77 80 160 127 398 258 298 209 354 914 1171 217 729    12   149      8.11 sec
